ingredient_name,rank,time_stamp,product_title,origial_price,price,unit,measure,unit_price,gram_price,discount_rate,badage_rocket,review_count,url,image
고운 고춧가루,3,2024-07-29 16:16:22,"화미 고춧가루 미분용, 2.5kg, 1개",,24500,100,g,980,9.8,,로켓배송,397,https://www.coupang.com/vp/products/1295382700?itemId=2307634996&vendorItemId=70304472937,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/602898626509561-ba93000f-f3fb-4370-bf63-acf22f286222.jpg
고운 고춧가루,4,2024-07-29 16:16:22,"태양의 선물 태양초 맛있게 매운 고운 고춧가루 소스용 국물용, 1개, 1kg",63000,18900,100,g,1890,18.9,70%,,9,https://www.coupang.com/vp/products/8037293977?itemId=22491458767&vendorItemId=89533657154,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/32c5/e8954d0f3e85f3aa46abda5c449096c1ccee881ed34cdad8addc8df99cd9.jpg
고운 고춧가루,5,2024-07-29 16:16:22,"화미 고춧가루 미분용, 2.5kg, 2개",,49000,100,g,980,9.8,,로켓배송,397,https://www.coupang.com/vp/products/1295382700?itemId=19133056738&vendorItemId=86252641685,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/12321405-1f31-44d7-b649-341cdaecdfa34334652056535446280.png
고운 고춧가루,6,2024-07-29 16:16:22,"고추연구소 23년 햇 닥터페퍼 고운 고춧가루, 1kg, 1개",,25960,100,g,2596,25.96,,로켓배송,728,https://www.coupang.com/vp/products/7186020008?itemId=18133097139&vendorItemId=72532043173,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/194505439216212-c60cdf6d-0cc4-481e-a552-d1f322402e8b.jpg
고운 고춧가루,7,2024-07-29 16:16:22,"햇님마을 국물땡기는 국산 고운 고춧가루 보통매운맛, 120g, 1개",9800,7600,100,g,6333,63.33,22%,로켓배송,7740,https://www.coupang.com/vp/products/7757556798?itemId=20911944478&vendorItemId=3009605775,https://thumbnail10.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1921223346965762-ca554d9b-c29f-4455-a2b1-709bd295966d.jpg
고운 고춧가루,8,2024-07-29 16:16:22,"고추연구소 고운 고춧가루, 1kg, 1개",14100,13550,100,g,1355,13.55,3%,로켓배송,130,https://www.coupang.com/vp/products/7510885925?itemId=19679658420&vendorItemId=86785060257,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4456641877392473-1d580f02-378e-4f3b-9fae-8a1362e4661f.jpg
고운 고춧가루,9,2024-07-29 16:16:22,"복이네먹거리 중국산 고추가루 보통맛 떡볶이 소스용 상, 1개, 1kg",14900,12900,100,g,1290,12.9,13%,로켓배송,474,https://www.coupang.com/vp/products/6988392407?itemId=3050558862&vendorItemId=71038571271,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3675514720334164-af8c881c-a6bd-4f8e-ac4a-e01f517c327e.jpg
고운 고춧가루,10,2024-07-29 16:16:22,"[임가100% 국산 고춧가루 1kg 보통맛 (고운가루) 실속형 국내산 햇고추, 1개",36000,26800,100,g,2680,26.8,25%,로켓배송,81,https://www.coupang.com/vp/products/7790224665?itemId=21074504558&vendorItemId=88245132949,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/148e/a71cd70027aab929ae1d6b4ac78cc4263610697f9fb02494123213271993.jpg
고운고추가루,1,2024-07-29 16:16:23,"고추연구소 고운 고춧가루, 1kg, 1개",14100,13550,100,g,1355,13.55,3%,로켓배송,1211,https://www.coupang.com/vp/products/7186018382?itemId=18133090219&vendorItemId=75251184855,https://thumbnail6.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/4456641877392473-1d580f02-378e-4f3b-9fae-8a1362e4661f.jpg
고운고추가루,2,2024-07-29 16:16:23,"곰곰 국물용 국산 고운 고춧가루 보통 매운맛, 120g, 1개",8900,7090,100,g,5908,59.08,20%,로켓배송,901,https://www.coupang.com/vp/products/6997508373?itemId=17148017510&vendorItemId=84320754972,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/5910308885890713-79f3c58a-2484-4148-8651-a4905d14d6f2.jpg
고운고추가루,3,2024-07-29 16:16:23,"태양의 선물 태양초 맛있게 매운 고운 고춧가루 소스용 국물용, 1개, 1kg",63000,18900,100,g,1890,18.9,70%,,9,https://www.coupang.com/vp/products/8037293977?itemId=22491458767&vendorItemId=89533657154,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/vendor_inventory/32c5/e8954d0f3e85f3aa46abda5c449096c1ccee881ed34cdad8addc8df99cd9.jpg
고운고추가루,4,2024-07-29 16:16:23,"화미 고춧가루 미분용, 2.5kg, 1개",,24500,100,g,980,9.8,,로켓배송,397,https://www.coupang.com/vp/products/1295382700?itemId=2307634996&vendorItemId=70304472937,https://thumbnail9.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/602898626509561-ba93000f-f3fb-4370-bf63-acf22f286222.jpg
고운고추가루,5,2024-07-29 16:16:23,"채운영농조합 국산 고춧가루 고운굵기 보통매운맛, 500g, 1개",22000,18000,100,g,3600,36.0,18%,로켓배송,53,https://www.coupang.com/vp/products/7851942695?itemId=21403793971&vendorItemId=88460379125,https://thumbnail8.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/1924204753260683-902c8b76-b89d-461f-be9e-776a9d3b8892.jpg
고운고추가루,6,2024-07-29 16:16:23,"복이네먹거리 중국산 고추가루 보통맛 떡볶이 소스용 상, 1개, 1kg",14900,12900,100,g,1290,12.9,13%,로켓배송,474,https://www.coupang.com/vp/products/6988392407?itemId=3050558862&vendorItemId=71038571271,https://thumbnail7.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/3675514720334164-af8c881c-a6bd-4f8e-ac4a-e01f517c327e.jpg
